config,structure,algebra,n,q,distribution,variant,run,build_ms,query_ms,checksum,peak_rss_kib
gcc-release,dst,min,524289,100,random,before,3,29.4833,0.003686,4893698954213784555,93256
gcc-release,dst,min,524289,100,random,before,4,30.2175,0.003654,4893698954213784555,93240
gcc-release,dst,min,524289,100,random,after,4,27.9768,0.003259,4893698954213784555,89376
gcc-release,dst,min,524289,100,random,after,5,28.0498,0.003381,4893698954213784555,89340
gcc-release,dst,min,524289,100,random,before,5,29.6547,0.003484,4893698954213784555,93284
gcc-release,dst,sum,524289,500000,random,before,0,28.3112,6.62149,12014905189528964679,97132
gcc-release,dst,sum,524289,500000,random,after,0,26.1377,5.4372,12014905189528964679,93248
gcc-release,dst,sum,524289,500000,random,after,1,27.2965,5.43272,12014905189528964679,93256
gcc-release,dst,sum,524289,500000,random,before,1,28.9144,5.72968,12014905189528964679,97172
gcc-release,dst,sum,524289,500000,random,before,2,28.4673,5.83833,12014905189528964679,97088
gcc-release,dst,sum,524289,500000,random,after,2,30.8959,5.61475,12014905189528964679,93188
gcc-release,dst,sum,524289,500000,random,after,3,27.0985,6.35268,12014905189528964679,93188
gcc-release,dst,sum,524289,500000,random,before,3,31.8455,6.61008,12014905189528964679,97124
gcc-release,dst,sum,524289,500000,random,before,4,29.2403,6.28554,12014905189528964679,97132
gcc-release,dst,sum,524289,500000,random,after,4,26.9436,5.6755,12014905189528964679,93040
gcc-release,dst,sum,524289,500000,random,after,5,28.1704,6.0623,12014905189528964679,93180
gcc-release,dst,sum,524289,500000,random,before,5,30.2392,5.90818,12014905189528964679,97172
gcc-release,dst,sum,524289,500000,short,before,0,28.5237,5.5563,6593724044195525849,97152
gcc-release,dst,sum,524289,500000,short,after,0,26.6519,5.18193,6593724044195525849,93280
gcc-release,dst,sum,524289,500000,short,after,1,26.463,5.31233,6593724044195525849,93000
gcc-release,dst,sum,524289,500000,short,before,1,29.0507,5.49007,6593724044195525849,97248
gcc-release,dst,sum,524289,500000,short,before,2,28.9623,5.6125,6593724044195525849,97172
gcc-release,dst,sum,524289,500000,short,after,2,25.2142,4.71355,6593724044195525849,93208
gcc-release,dst,sum,524289,500000,short,after,3,26.0882,5.57156,6593724044195525849,93268
gcc-release,dst,sum,524289,500000,short,before,3,29.1638,5.58828,6593724044195525849,97176
gcc-release,dst,sum,524289,500000,short,before,4,28.0341,5.60544,6593724044195525849,97124
gcc-release,dst,sum,524289,500000,short,after,4,27.5899,4.79776,6593724044195525849,93356
gcc-release,dst,sum,524289,500000,short,after,5,25.6283,4.97484,6593724044195525849,93232
gcc-release,dst,sum,524289,500000,short,before,5,28.5221,5.23255,6593724044195525849,97140
gcc-release,dst,sum,524289,100,random,before,0,28.7563,0.00329,8314412208803132849,93288
gcc-release,dst,sum,524289,100,random,after,0,27.3119,0.002979,8314412208803132849,89384
gcc-release,dst,sum,524289,100,random,after,1,27.4851,0.003196,8314412208803132849,89300
gcc-release,dst,sum,524289,100,random,before,1,29.1212,0.003641,8314412208803132849,93280
gcc-release,dst,sum,524289,100,random,before,2,28.9234,0.003515,8314412208803132849,93256
gcc-release,dst,sum,524289,100,random,after,2,27.8506,0.003225,8314412208803132849,89292
gcc-release,dst,sum,524289,100,random,after,3,27.3995,0.00311,8314412208803132849,89392
gcc-release,dst,sum,524289,100,random,before,3,28.3878,0.002705,8314412208803132849,93240
gcc-release,dst,sum,524289,100,random,before,4,29.2968,0.003765,8314412208803132849,93276
gcc-release,dst,sum,524289,100,random,after,4,26.6547,0.003706,8314412208803132849,89340
gcc-release,dst,sum,524289,100,random,after,5,27.1339,0.003253,8314412208803132849,89344
gcc-release,dst,sum,524289,100,random,before,5,28.4315,0.003568,8314412208803132849,93292
gcc-release,dst,affine,524289,500000,random,before,0,65.6215,9.11822,11860631975963514010,191476
gcc-release,dst,affine,524289,500000,random,after,0,46.1231,8.74491,11860631975963514010,183176
gcc-release,dst,affine,524289,500000,random,after,1,43.4676,8.61754,11860631975963514010,183204
